track_id,name,album_id,track_number,duration_ms,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
249gnXrbfmV8NG6jTEMSwD,Life Goes On,2qehskW9lYGWfYb0xPZkrS,1,207481,https://p.scdn.co/mp3-preview/9dc29ff47cbdda2d3c5a66b3fabf9c7420f62950?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068
3QH8rQGNFX8VLbCgZ7uPTS,Fly To My Room,2qehskW9lYGWfYb0xPZkrS,2,222242,https://p.scdn.co/mp3-preview/178a7c05e3f026a21d2ba6ffce794d3809a1619c?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91
0n2moJpAEWHwaPYYjkzMDl,Blue & Grey,2qehskW9lYGWfYb0xPZkrS,3,254950,https://p.scdn.co/mp3-preview/2a9059469af841645ac22da0a4e644ed18fe6a04?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953
4GVwjLRT7oSsKby7Vy8EHr,Skit,2qehskW9lYGWfYb0xPZkrS,4,179547,https://p.scdn.co/mp3-preview/3c9162790df928c29c3c9cfb69fb1115f160082a?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.703,0.321,4,-13.135,1,0.884,0.864,0.0,0.908,0.544,114.822
2FVpOsjT1iquZ3SpCjZ9Ne,Telepathy,2qehskW9lYGWfYb0xPZkrS,5,202313,https://p.scdn.co/mp3-preview/e057af6f770b0a7a5b50a8152194db8e7b538282?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994
54DmTIv86D3sYdiawjULQ0,Dis-ease,2qehskW9lYGWfYb0xPZkrS,6,239722,https://p.scdn.co/mp3-preview/0ceaed1d6b96fc04e513d10f05d1c736caf70b3f?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085
3ndCsZfq8OVwwkz9mmZvUz,Stay,2qehskW9lYGWfYb0xPZkrS,7,204800,https://p.scdn.co/mp3-preview/abcbd31b7da5f4eec72ca1248ef4108677c252ef?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904
4saklk6nie3yiGePpBwUoc,Dynamite,2qehskW9lYGWfYb0xPZkrS,8,199053,https://p.scdn.co/mp3-preview/a707728846c105f4d8552b8546c30b121bf517f0?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044
5raJ9QoZOdoRZ1MZOcygkR,INTRO : Calling,1nScVw87kRJiT2bg2Kswhp,1,84613,https://p.scdn.co/mp3-preview/7853dd7e3e7e9cdfae7c20828bd12f811c2d3ec2?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.486,0.61,10,-12.063,1,0.0348,0.582,0.791,0.144,0.0806,144.992
3Ys2PYl1wyPKQIwyqhP9cQ,Stay Gold,1nScVw87kRJiT2bg2Kswhp,2,243266,https://p.scdn.co/mp3-preview/19fa523e4ac6bca9f87653a98a283d5de149552b?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.582,129.017
1GAAUZBTaIM1LwNpOJQJrZ,Boy With Luv - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,3,230013,https://p.scdn.co/mp3-preview/6a27654ffee259840731e592332743584a9f80a6?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.673,0.855,11,-4.65,0,0.089,0.0661,0.0,0.209,0.78,119.917
6P0Ni8GrnwRScC4uk8tKqM,Make It Right - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,4,225520,https://p.scdn.co/mp3-preview/366ef411e6808a5e389f21e7c7bf8a4ba776481e?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.571,0.703,7,-7.401,1,0.468,0.0163,0.0,0.262,0.238,104.067
6j0NiWoRQDiNC05RwVVZNa,Dionysus - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,5,248906,https://p.scdn.co/mp3-preview/501e684efc0c2e699f863b6de28844dbb7b8200a?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.455,0.893,7,-3.712,1,0.148,0.0218,0.0,0.358,0.588,175.992
2vYF5MHeCNtqCVastthDAo,IDOL - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,6,223213,https://p.scdn.co/mp3-preview/b93742d9242b6f6d0b4bcdb62d99a40e2d57dde4?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.705,0.754,6,-5.453,0,0.0895,0.000331,0.0,0.129,0.422,126.014
4EeVAiJtyblHzvkN9sZCmM,Airplane pt.2 - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,7,220053,https://p.scdn.co/mp3-preview/d938962243993b699d92d72eaee8c68edc0416a9?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.752,0.782,0,-5.173,0,0.0297,0.04,1.04e-06,0.0841,0.901,139.994
4jTEbIwCMcHSwlSEiR4NlQ,FAKE LOVE - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,8,243533,https://p.scdn.co/mp3-preview/21635bcd2b8d3c97156c0e7978a52d7faf38bd71?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.546,0.682,2,-5.628,0,0.039,0.00362,0.0,0.295,0.433,154.923
5smmjzMNkj4YSacTBH6taZ,Black Swan - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,9,198760,https://p.scdn.co/mp3-preview/7ce3e0f605472bd30c3b12172585725b97e2f419?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.714,0.736,2,-5.724,0,0.0819,0.166,0.0,0.133,0.536,147.037
2hhizKAVm9wNn0d2N05jkG,ON - Japanese ver.,1nScVw87kRJiT2bg2Kswhp,10,247986,https://p.scdn.co/mp3-preview/d016e8bad6dc7e81834f5f3134d82b054b887f3f?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.598,0.821,9,-5.653,0,0.114,0.119,0.0,0.298,0.428,105.991
3TDUktzfYXMWjkWqwoT5F1,Lights,1nScVw87kRJiT2bg2Kswhp,11,292853,https://p.scdn.co/mp3-preview/1158611db4e6f8ffa249008187a8f6681878fa44?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.608,0.644,5,-5.588,1,0.0314,0.156,0.0,0.124,0.431,99.005
3TZ7NHkMT82AhwuYsd00Hz,Your eyes tell,1nScVw87kRJiT2bg2Kswhp,12,245146,https://p.scdn.co/mp3-preview/fe45b2fdf3d72258b1cfe2e48605ad683621680c?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.449,0.491,9,-6.433,0,0.029,0.279,0.0,0.0654,0.258,139.923
0VF357Gjay5vvCqWA1kSu6,OUTRO : The Journey,1nScVw87kRJiT2bg2Kswhp,13,76506,https://p.scdn.co/mp3-preview/055610bb016688678fdc7d2f167c340ab8c19108?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.523,0.455,9,-14.26,0,0.0632,0.704,0.459,0.135,0.165,136.959
2BgZrbbAZxSnyE7U5efVrG,Intro : Persona,6mJZTV8lCqnwftYZa94bXS,1,171023,https://p.scdn.co/mp3-preview/cdb39e2a244c28523e6f34fc686a15251d2a03a6?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.469,0.87,9,-4.475,0,0.342,0.0278,0.0,0.313,0.652,86.622
1ZpFxOhpzT1MDCq7zjtOV1,Boy With Luv (Feat. Halsey),6mJZTV8lCqnwftYZa94bXS,2,229773,https://p.scdn.co/mp3-preview/d16797fb391fb909f3c46454d7cf89a2718f8171?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991
1OqkHhYOcqfwYx7LqlAE8Y,Make It Right,6mJZTV8lCqnwftYZa94bXS,3,226321,https://p.scdn.co/mp3-preview/27d07e11fef56c0f8cb8a7e77a445e7371971ea5?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.638,0.703,7,-7.874,1,0.444,0.0104,0.0,0.132,0.261,105.766
5oXdWFCLkBX5XmGbTrlK40,Jamais Vu,6mJZTV8lCqnwftYZa94bXS,4,227275,https://p.scdn.co/mp3-preview/698f1a4a1767f3ea64e40b04d9be33d923b8f827?cid=6bff2558c1ee4b428271863f3ff2cf2f,0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0
