danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,tsne-2d-one,tsne-2d-two
0.5660000000000001,0.716,1,-5.733,1,0.0424,0.0069099999999999995,0.0,0.37,0.45,81.068,2,11.437573,7.880209
0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,0,1.7733487,-0.4508857
0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.95299999999999,0,-0.9714623,-1.598889
0.703,0.321,4,-13.135,1,0.884,0.8640000000000001,0.0,0.9079999999999999,0.544,114.822,0,-0.027220434,3.0927265
0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.12300000000000001,0.57,104.994,0,5.6853337,3.7236965
0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,2,7.007962,5.2504215
0.5820000000000001,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,0,-2.6548524,-2.469292
0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,0,1.6235656,1.0669926
0.486,0.61,10,-12.062999999999999,1,0.0348,0.5820000000000001,0.7909999999999999,0.14400000000000002,0.0806,144.99200000000002,3,-8.310125,-6.2950134
0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.5820000000000001,129.017,3,-4.0275407,-2.7766087
0.6729999999999999,0.855,11,-4.65,0,0.08900000000000001,0.0661,0.0,0.209,0.78,119.917,0,0.044944257,-1.2888421
0.5710000000000001,0.703,7,-7.401,1,0.46799999999999997,0.0163,0.0,0.262,0.23800000000000002,104.06700000000001,0,5.566342,4.6170783
0.455,0.893,7,-3.7119999999999997,1,0.14800000000000002,0.0218,0.0,0.358,0.588,175.99200000000002,1,-11.544477,-10.548262
0.705,0.754,6,-5.452999999999999,0,0.0895,0.000331,0.0,0.129,0.42200000000000004,126.014,0,-2.7236714,-2.615564
0.752,0.782,0,-5.172999999999999,0,0.0297,0.04,1.04e-06,0.0841,0.9009999999999999,139.994,3,-6.1331277,-7.0609183
0.546,0.682,2,-5.627999999999999,0,0.039,0.0036200000000000004,0.0,0.295,0.433,154.923,1,-8.986184,-8.786863
0.7140000000000001,0.736,2,-5.724,0,0.0819,0.166,0.0,0.133,0.536,147.037,3,-7.7139273,-7.831088
0.598,0.821,9,-5.653,0,0.114,0.11900000000000001,0.0,0.298,0.428,105.991,0,4.4257264,3.8427958
0.608,0.644,5,-5.587999999999999,1,0.0314,0.156,0.0,0.124,0.431,99.005,2,7.6716223,6.1702175
0.449,0.491,9,-6.433,0,0.028999999999999998,0.27899999999999997,0.0,0.0654,0.258,139.923,3,-6.923165,-5.5946484
0.523,0.455,9,-14.26,0,0.0632,0.7040000000000001,0.45899999999999996,0.135,0.165,136.959,3,-6.9477243,-4.73199
0.469,0.87,9,-4.475,0,0.342,0.0278,0.0,0.313,0.652,86.62200000000001,2,10.233156,8.775829
0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.7979999999999999,119.991,0,0.17948595,-1.4068539
0.638,0.703,7,-7.874,1,0.444,0.0104,0.0,0.132,0.261,105.766,0,5.102507,4.3895526
0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.24100000000000002,81.0,2,11.253589,9.05406
0.502,0.91,7,-2.7689999999999997,1,0.107,0.04,0.0,0.319,0.588,176.084,1,-10.895589,-11.1505165
0.385,0.7979999999999999,9,-6.439,0,0.483,0.115,0.0,0.18100000000000002,0.141,149.756,3,-8.863652,-7.4991684
0.7190000000000001,0.758,2,-5.167000000000001,0,0.0851,0.13699999999999998,0.0,0.129,0.49,147.023,3,-7.7059956,-7.933185
